"WHRECOV",NA,2,NA,2,NA
"WHHT2",NA,NA,NA,NA,NA
"WHWT",NA,NA,NA,NA,NA
"WHOT",NA,NA,NA,NA,NA
"PCTERM",1,1,2,1,1
"PCTERMN",2,23,0,50,26
"PCTRMC",1,4,0,5,4
"MLTMON",2,1,NA,1,1
"MLTMNC",NA,4,NA,4,4
"FLATC",1,1,NA,1,1
"LAPTPN",0,7,0,5,13
"LAPTPC",0,2,0,2,3
"PRNTRN",2,17,NA,99,20
"PRNTYP",4,1,NA,4,2
"SERVER",2,1,2,1,1
"SERVERN",0,7,0,4,10
"SERVERC",0,2,0,1,3
"DATACNTR",NA,2,NA,2,1
"DCNTRSFC",NA,NA,NA,NA,1
"TRNGRM",NA,2,NA,2,1
"STDNRM",NA,2,NA,2,2
"WBOARDS",NA,2,NA,NA,2
"TVVIDEO",2,1,2,1,1
"TVVIDEON",NA,49,NA,995,1
"RGSTR",2,1,2,1,2
"RGSTRN",NA,16,NA,8,NA
"COPIER",1,1,2,1,1
"COPIERN",1,3,NA,10,2
"FAX",1,1,2,1,1
"LTOHRP",100,74,100,90,100
"LOHRPC",4,3,4,4,4
"LTNR24",NA,NA,NA,1,NA
"LTNHRP",50,16,0,80,35
"LNHRPC",2,1,5,4,2
"RDLTNF",1,1,1,1,1
"FLUOR",1,1,1,1,1
"CFLR",2,1,2,1,2
"BULB",2,1,2,1,2
"HALO",2,1,2,1,2
"HID",2,2,2,1,2
"LED",2,1,2,2,2
"OTLT",2,2,2,2,2
"FLUORP",100,87,100,40,100
"CFLRP",NA,7,NA,15,NA
"BULBP",NA,1,NA,60,NA
"HALOP",NA,4,NA,20,NA
"HIDP",NA,NA,NA,5,NA
"LEDP",NA,2,NA,NA,NA
"OTLTP",NA,NA,NA,NA,NA
"EMCSLT",NA,1,NA,2,2
"SCHED",2,1,2,2,2
"OCSN",2,1,2,2,2
"DIM",2,1,2,2,2
"DAYHARV",2,2,2,2,2
"TRIM",2,2,2,2,2
"PLGCTRL",2,2,2,2,2
"DRLGHT",2,1,2,2,2
"LTEXPC",2,1,1,2,4
"PKLT",2,1,2,1,1
"WINTYP",1,3,1,3,1
"TINT",2,1,2,2,1
"REFL",2,2,2,1,2
"AWN",2,1,2,2,2
"SKYLT",2,1,2,1,2
"DAYLTP",0,19,0,20,0
"ZSQFT",0,0,0,0,0
"ZSQFTC",0,0,0,0,0
"ZWLCNS",0,0,0,0,0
"ZRFCNS",0,0,0,0,0
"ZRFCOOL",0,0,0,0,0
"ZRFTILT",0,0,0,0,0
"ZBLDSHP",0,0,0,0,0
"ZGLSSPC",0,0,0,0,0
"ZEQGLSS",0,0,0,0,0
"ZSUNGLS",0,0,9,9,0
"ZNFLOOR",0,0,0,0,0
"ZBASEMNT",9,9,9,0,0
"ZFLCEILHT",0,0,0,0,0
"ZATTIC",0,1,0,0,0
"ZELEVTR",9,9,9,0,0
"ZNELVTR",9,9,9,0,0
"ZESCLTR",9,9,9,0,0
"ZNESLTR",9,9,9,0,9
"ZYRCON",0,0,0,0,0
"ZYRCONC",0,0,0,0,0
"ZRENOV",0,0,0,0,0
"ZRENADD",0,0,0,0,0
"ZRENRDC",0,0,0,0,0
"ZRENCOS",0,0,0,0,0
"ZRENINT",0,0,0,0,0
"ZRENRFF",0,0,0,0,0
"ZRENWLL",0,0,0,0,0
"ZRENWIN",0,0,0,0,0
"ZRENHVC",0,0,0,0,0
"ZRENLGT",0,0,0,0,0
"ZRENPLB",0,0,0,0,0
"ZRENELC",0,0,0,0,0
"ZRENINS",0,0,0,0,0
"ZRENSAF",0,0,0,0,0
"ZRENSTR",0,0,0,0,0
"ZRENOTH",0,0,0,0,0
"ZDRYCL",9,9,9,9,9
"ZCUBE",9,9,9,9,0
"ZCUBEC",9,9,9,9,9
"ZCUBELOC",9,9,9,9,9
"ZRWSEAT",9,9,9,9,9
"ZPBSEAT",9,9,9,9,9
"ZEDSEAT",9,9,9,9,9
"ZFDSEAT",9,9,0,9,9
"ZHCBED",9,9,9,9,9
"ZNRSBED",9,9,9,9,9
"ZLODGRM",9,9,9,0,9
"ZFACIL",0,0,0,0,0
"ZFEDFAC",9,9,0,0,0
"ZFACACT",9,9,0,0,0
"ZPLANT",9,9,0,0,0
"ZFACDST",9,9,9,0,0
"ZFACDHW",9,9,9,0,0
"ZFACDCW",9,9,9,0,0
"ZFACELC",9,9,9,0,0
"ZBLDPLT",9,9,9,0,0
"ZGOVOWN",0,0,0,0,0
"ZGOVTYP",0,9,9,9,9
"ZOWNTYPE",0,0,0,0,0
"ZNOCC",0,0,0,0,0
"ZNOCCAT",0,0,0,0,0
"ZOWNOCC",0,0,0,0,0
"ZOWNOPR",0,0,0,0,0
"ZOWNPPR",0,9,0,0,0
"ZNWNPPR",9,9,9,9,9
"ZNWNOPR",9,0,9,9,9
"ZWHOPPR",9,0,9,9,9
"ZMONUSE",0,2,0,0,0
"ZOCCUPYP",9,0,9,9,0
"ZLODOCCP",9,9,9,0,9
"ZOPEN24",0,2,0,0,0
"ZOPNMF",0,2,0,0,0
"ZOPNWE",0,2,0,0,0
"ZWKHRS",0,2,0,0,0
"ZWKHRSC",0,2,0,0,0
